rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
1945,Xi'an Jiaotong-Liverpool University,China,259,-,-,-,1866,66,xjtlu.edu.cn
1946,University of Hawaii at Hilo,USA,348,-,-,-,1867,66,hilo.hawaii.edu
1947,Bharathidasan University,India,60,-,-,-,1868,66,bdu.ac.in
1948,Federal University of Amazonas,Brazil,55,-,-,-,1870,66,ufam.edu.br
1949,Gettysburg College,USA,349,167,209,-,-,66,gettysburg.edu
1950,Josip Juraj Strossmayer University of Osijek,Croatia,4,-,-,-,1871,66,unios.hr
1951,Leeds Beckett University,United Kingdom,94,-,-,-,1873,66,leedsbeckett.ac.uk
1952,Tezpur University,India,61,-,-,-,1874,66,tezu.ernet.in
1953,University of North Florida,USA,350,-,-,-,1875,66,unf.edu
1954,Trinity College,USA,351,109,250,-,-,66,trincoll.edu
1955,École nationale supérieure de formation de l’enseignement agricole,France,81,-,-,-,1877,66,ensfea.fr
1956,Shiraz University of Technology,Iran,35,-,-,-,1878,66,sutech.ac.ir
1957,Lebanese University,Lebanon,2,-,-,-,1880,66,ul.edu.lb
1958,Royal Military College of Canada,Canada,44,-,1185,-,1883,66,rmc-cmr.ca
1959,Near East University,Northern Cyprus,1,-,-,-,1881,65.9,neu.edu.tr
1960,Sam Houston State University,USA,352,-,1446,-,1882,65.9,shsu.edu
1961,Lafayette College,USA,353,122,742,-,-,65.9,lafayette.edu
1962,Vytautas Magnus University,Lithuania,4,-,-,-,1884,65.9,vdu.lt
1963,"National Institute of Astrophysics, Optics and Electronics",Mexico,18,-,-,-,1885,65.9,inaoep.mx
1964,Open University of the Netherlands,Netherlands,15,-,-,-,1886,65.9,ou.nl
1965,N.S. Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences,Russia,46,-,-,-,1887,65.9,igic.ras.ru
1966,King Khalid University,Saudi Arabia,8,-,-,-,1888,65.9,kku.edu.sa
1967,University of Kurdistan,Iran,36,-,-,-,1889,65.9,uok.ac.ir
1968,University of Wolverhampton,United Kingdom,95,-,-,-,1890,65.9,wlv.ac.uk
1969,University of the Azores,Portugal,14,-,-,-,1891,65.9,uac.pt
1970,East China University of Technology,China,260,-,-,-,1892,65.9,ecut.edu.cn
1971,Reed College,USA,354,101,1103,-,-,65.9,reed.edu
1972,Tama Art University,Japan,126,360,-,133,-,65.9,tamabi.ac.jp
1973,Chia Nan University of Pharmacy & Science,Taiwan,36,-,-,-,1893,65.9,cnu.edu.tw
1974,SUNY Maritime College,USA,355,-,144,-,-,65.9,sunymaritime.edu
1975,Indian Institute of Technology Gandhinagar,India,62,-,-,-,1894,65.9,iitgn.ac.in
