rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
218,RWTH Aachen University,Germany,18,494,235,-,180,78.3,rwth-aachen.de
219,Kyushu University,Japan,10,272,108,-,219,78.3,kyushu-u.ac.jp
220,The Scripps Research Institute,USA,78,-,-,71,295,78.2,scripps.edu
221,University of Adelaide,Australia,8,197,783,-,165,78.2,adelaide.edu.au
222,Wake Forest University,USA,79,-,70,-,278,78.2,wfu.edu
223,London School of Hygiene & Tropical Medicine,United Kingdom,21,270,-,172,232,78.2,lshtm.ac.uk
224,University of Erlangen–Nuremberg,Germany,19,417,926,-,163,78.2,fau.eu
225,Harbin Institute of Technology,China,13,-,444,-,169,78.1,hit.edu.cn
226,Claude Bernard University Lyon 1,France,13,-,1034,-,162,78.1,univ-lyon1.fr
227,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,2,27,-,103,533,78.1,lebedev.ru
228,University of Leicester,United Kingdom,22,-,-,96,277,78.1,le.ac.uk
229,Complutense University of Madrid,Spain,3,191,137,215,273,78.1,ucm.es
230,University of Cincinnati,USA,80,499,239,-,189,78,uc.edu
231,University of Texas Health Science Center at Houston,USA,81,-,-,149,249,78,uth.edu
232,Xi'an Jiaotong University,China,14,-,207,-,197,78,xjtu.edu.cn
233,University of Turin,Italy,5,233,1098,-,170,78,unito.it
234,KAIST,South Korea,5,-,174,-,207,78,kaist.ac.kr
235,Hong Kong University of Science and Technology,China,15,-,494,143,269,77.9,ust.hk
236,University of Sussex,United Kingdom,23,106,438,81,350,77.9,sussex.ac.uk
237,Charles University in Prague,Czech Republic,1,326,1309,-,175,77.9,cuni.cz
238,Paul Sabatier University,France,14,-,-,-,171,77.9,univ-tlse3.fr
239,Karlsruhe Institute of Technology,Germany,20,460,296,-,192,77.9,kit.edu
240,Maastricht University,Netherlands,9,-,1424,-,179,77.8,maastrichtuniversity.nl
241,Shandong University,China,16,-,1111,-,182,77.8,sdu.edu.cn
242,"University of California, Riverside",USA,82,365,-,219,217,77.8,ucr.edu
243,Wuhan University,China,17,-,392,-,190,77.8,whu.edu.cn
244,University of Bordeaux,France,15,-,1295,-,183,77.8,u-bordeaux.fr
245,University of Naples Federico II,Italy,6,-,853,-,185,77.7,unina.it
246,"University of California, Santa Cruz",USA,83,374,-,174,252,77.7,ucsc.edu
247,Virginia Commonwealth University,USA,84,-,1000,111,291,77.7,vcu.edu
248,Tianjin University,China,18,-,158,-,243,77.7,tju.edu.cn
249,"University of Tennessee, Knoxville",USA,85,421,408,-,205,77.7,utk.edu
250,University of Houston,USA,86,-,146,123,340,77.6,uh.edu
251,Xiamen University,China,19,-,116,-,266,77.6,xmu.edu.cn
252,Colorado State University,USA,87,451,1243,205,248,77.6,colostate.edu
253,University of Florence,Italy,7,-,738,-,199,77.6,unifi.it
254,Nankai University,China,20,-,126,-,265,77.6,nankai.edu.cn
255,Jilin University,China,21,-,476,-,210,77.5,jlu.edu.cn
256,Sichuan University,China,22,-,1060,-,201,77.5,scu.edu.cn
257,Oregon Health & Science University,USA,88,-,-,-,202,77.5,ohsu.edu
258,University of Tsukuba,Japan,11,-,-,141,297,77.5,tsukuba.ac.jp
259,Delft University of Technology,Netherlands,10,256,403,-,218,77.5,tudelft.nl
260,University of Aberdeen,United Kingdom,24,275,654,154,301,77.5,abdn.ac.uk
261,University of Manitoba,Canada,11,319,251,196,292,77.4,umanitoba.ca
262,University of Bergen,Norway,3,378,-,-,208,77.4,uib.no
263,University of Auckland,New Zealand,1,504,430,-,216,77.4,auckland.ac.nz
264,University of Pisa,Italy,8,325,1163,-,211,77.4,unipi.it
265,South China University of Technology,China,23,-,234,-,238,77.4,scut.edu.cn
266,University of Exeter,United Kingdom,25,361,660,-,214,77.3,exeter.ac.uk
267,National and Kapodistrian University of Athens,Greece,1,-,698,-,213,77.3,uoa.gr
268,University of Cape Town,South Africa,1,170,278,-,246,77.3,uct.ac.za
269,University of Genoa,Italy,9,508,1172,225,261,77.3,unige.it
270,Oregon State University,USA,89,227,537,226,274,77.3,oregonstate.edu
271,Leipzig University,Germany,21,203,-,197,282,77.3,uni-leipzig.de
272,University of Connecticut,USA,90,472,387,-,229,77.2,uconn.edu
273,Virginia Tech,USA,91,475,321,-,236,77.2,vt.edu
274,Florida State University,USA,92,-,553,-,222,77.2,fsu.edu
275,University of the Witwatersrand,South Africa,2,163,86,-,331,77.2,wits.ac.za
276,University of Massachusetts Medical School,USA,93,-,-,87,346,77.2,umassmed.edu
277,University of East Anglia,United Kingdom,26,126,-,165,326,77.2,uea.ac.uk
278,City University of Hong Kong,China,24,-,1053,-,221,77.1,cityu.edu.hk
279,"University of Maryland, Baltimore",USA,94,-,-,-,220,77.1,umaryland.edu
280,Autonomous University of Madrid,Spain,4,-,909,-,226,77.1,uam.es
281,University of Lorraine,France,16,518,421,171,307,77.1,univ-lorraine.fr
282,University of Liège,Belgium,5,186,-,113,347,77.1,uliege.be
283,University College Dublin,Ireland,2,-,272,-,256,77,ucd.ie
284,National Autonomous University of Mexico,Mexico,1,394,1410,241,268,77,unam.mx
285,Southeast University,China,25,-,1048,-,231,77,seu.edu.cn
286,Laval University,Canada,12,511,454,-,242,77,ulaval.ca
287,Hong Kong Polytechnic University,China,26,-,322,-,251,77,polyu.edu.hk
288,Medical University of Vienna,Austria,2,-,-,-,233,77,meduniwien.ac.at
289,University of Valencia,Spain,5,-,1329,-,237,76.9,uv.es
290,University at Buffalo,USA,95,-,616,-,241,76.9,buffalo.edu
291,University of South Florida,USA,96,-,760,-,240,76.9,usf.edu
292,Wayne State University,USA,97,497,317,-,260,76.9,wayne.edu
293,Louisiana State University,USA,98,468,352,-,259,76.9,lsu.edu
294,Tongji University,China,27,-,244,-,271,76.9,tongji.edu.cn
295,University of Antwerp,Belgium,6,-,520,-,250,76.8,uantwerpen.be
296,University of Kentucky,USA,99,293,525,-,257,76.8,uky.edu
297,University of Pavia,Italy,10,371,750,215,294,76.8,unipv.it
298,Central South University,China,28,-,228,-,276,76.8,csu.edu.cn
299,Southern Methodist University,USA,100,193,29,-,651,76.8,smu.edu
300,University of New Mexico,USA,101,-,-,-,247,76.8,unm.edu
301,Queen's University,Canada,13,505,420,203,310,76.7,queensu.ca
302,George Washington University,USA,102,400,199,-,287,76.7,gwu.edu
303,University of Delaware,USA,103,373,668,161,332,76.7,udel.edu
304,University of Lille,France,17,-,-,-,253,76.7,univ-lille.fr
305,King Abdulaziz University,Saudi Arabia,1,-,1294,-,255,76.7,kau.edu.sa
306,"Soochow University, China",China,29,-,-,-,254,76.7,suda.edu.cn
307,University of Duisburg-Essen,Germany,22,-,993,-,258,76.6,uni-due.de
308,Washington State University,USA,104,-,874,183,318,76.6,wsu.edu
309,University of Nebraska–Lincoln,USA,105,172,395,-,285,76.6,unl.edu
310,University of Rome Tor Vergata,Italy,11,-,1484,-,264,76.6,uniroma2.it
311,International Institute for Management Development,Switzerland,8,-,8,-,-,76.6,imd.org
312,Ruhr University Bochum,Germany,23,-,406,-,275,76.6,ruhr-uni-bochum.de
313,Dalian University of Technology,China,30,-,240,-,293,76.6,dlut.edu.cn
314,Ulm University,Germany,24,-,954,-,272,76.5,uni-ulm.de
315,Durham University,United Kingdom,27,338,311,-,289,76.5,dur.ac.uk
316,London School of Economics and Political Science,United Kingdom,28,248,79,253,428,76.5,lse.ac.uk
317,China Europe International Business School,China,31,-,10,-,-,76.5,ceibs.edu
318,University of Porto,Portugal,2,491,703,-,279,76.5,up.pt
319,Northeastern University,USA,106,323,171,-,324,76.5,northeastern.edu
320,University of York,United Kingdom,29,268,-,-,281,76.4,york.ac.uk
321,Umeå University,Sweden,7,-,1350,267,288,76.4,umu.se
322,Friedrich Schiller University Jena,Germany,25,519,-,255,303,76.4,uni-jena.de
323,Hanyang University,South Korea,6,-,192,-,316,76.4,hanyang.ac.kr
324,Beihang University,China,32,-,928,-,280,76.4,buaa.edu.cn
325,National Cheng Kung University,Taiwan,2,-,110,-,354,76.4,ncku.edu.tw
326,King Abdullah University of Science and Technology,Saudi Arabia,2,-,-,158,368,76.4,kaust.edu.sa
327,University of South Carolina - Columbia,USA,107,-,531,-,296,76.3,sc.edu
328,Chinese Academy of Medical Sciences & Peking Union Medical College,China,33,-,-,-,290,76.3,cams.ac.cn
329,University of Düsseldorf,Germany,26,213,-,-,302,76.3,uni-duesseldorf.de
330,University of Dundee,United Kingdom,30,492,1097,147,401,76.3,dundee.ac.uk
331,Dalhousie University,Canada,14,313,310,-,312,76.3,dal.ca
332,Hannover Medical School,Germany,27,-,-,267,305,76.3,mh-hannover.de
333,University of Granada,Spain,6,-,-,-,298,76.2,ugr.es
334,Versailles Saint-Quentin-en-Yvelines University,France,18,-,-,-,299,76.2,uvsq.fr
335,Simon Fraser University,Canada,15,-,1150,-,300,76.2,sfu.ca
336,Polytechnic University of Milan,Italy,12,356,457,193,373,76.2,polimi.it
337,University of St Andrews,United Kingdom,31,296,754,224,352,76.2,st-andrews.ac.uk
338,Eindhoven University of Technology,Netherlands,11,-,882,227,344,76.2,tue.nl
339,Aalto University,Finland,2,-,210,-,336,76.2,aalto.fi
340,École des ponts ParisTech,France,19,168,25,-,972,76.1,enpc.fr
341,University of Otago,New Zealand,2,-,779,-,308,76.1,otago.ac.nz
342,Beijing Normal University,China,34,-,1287,-,306,76.1,bnu.edu.cn
343,City College of New York,USA,108,24,427,-,768,76.1,ccny.cuny.edu
344,University of Milano-Bicocca,Italy,13,-,-,-,309,76.1,unimib.it
345,University of Oregon,USA,109,141,-,229,386,76.1,uoregon.edu
346,University of Belgrade,Serbia,1,440,-,-,311,76.1,bg.ac.rs
347,Drexel University,USA,110,-,273,232,390,76,drexel.edu
348,Lancaster University,United Kingdom,32,-,582,-,320,76,lancaster.ac.uk
349,Ben-Gurion University of the Negev,Israel,5,-,-,211,367,76,bgu.ac.il
350,Queen's University Belfast,United Kingdom,33,389,877,-,317,76,qub.ac.uk
351,University of Campinas,Brazil,2,-,-,-,314,76,unicamp.br
352,Temple University,USA,111,-,648,-,319,76,temple.edu
353,University of Southern Denmark,Denmark,4,-,1468,-,315,76,sdu.dk
354,University of Buenos Aires,Argentina,1,327,1281,-,321,75.9,uba.ar
355,University of Parma,Italy,14,300,897,90,483,75.9,unipr.it
356,Federal University of Rio de Janeiro,Brazil,3,439,434,-,330,75.9,ufrj.br
357,Linköping University,Sweden,8,-,637,-,325,75.9,liu.se
358,University of the Basque Country,Spain,7,-,1116,-,322,75.9,ehu.eus
359,Vrije Universiteit Brussel,Belgium,7,447,-,-,323,75.9,vub.ac.be
360,Aalborg University,Denmark,5,-,808,-,328,75.9,aau.dk
361,Curtin University,Australia,9,-,1325,-,327,75.8,curtin.edu.au
362,Pohang University of Science and Technology,South Korea,7,-,-,-,329,75.8,postech.ac.kr
363,Beijing Institute of Technology,China,35,-,1112,-,333,75.8,bit.edu.cn
364,University of Turku,Finland,3,-,1449,-,334,75.8,utu.fi
365,Lanzhou University,China,36,-,1059,-,337,75.8,lzu.edu.cn
366,University of Victoria,Canada,16,-,-,-,335,75.8,uvic.ca
367,University of Innsbruck,Austria,3,-,751,244,380,75.8,uibk.ac.at
368,Medical University of South Carolina,USA,112,-,-,-,338,75.7,musc.edu
369,University of Marburg,Germany,28,202,-,223,417,75.7,uni-marburg.de
370,Technical University of Berlin,Germany,29,180,592,-,359,75.7,tu-berlin.de
371,Hunan University,China,37,-,623,-,345,75.7,hnu.edu.cn
372,Pontifical Catholic University of Chile,Chile,1,495,196,-,395,75.7,uc.cl
373,Justus Liebig University Giessen,Germany,30,-,-,-,339,75.7,uni-giessen.de
374,University of Regensburg,Germany,31,-,852,-,342,75.7,uni-regensburg.de
375,Jagiellonian University,Poland,1,-,-,-,341,75.7,uj.edu.pl
376,Kurchatov Institute,Russia,3,-,-,-,343,75.6,nrcki.ru
377,National Tsing Hua University,Taiwan,3,369,845,-,349,75.6,nthu.edu.tw
378,Macquarie University,Australia,10,-,536,-,353,75.6,mq.edu.au
379,University of Perugia,Italy,15,-,-,-,348,75.6,unipg.it
380,China Agricultural University,China,38,-,1160,-,351,75.6,cau.edu.cn
381,University of Electronic Science and Technology of China,China,39,-,721,-,357,75.6,uestc.edu.cn
382,King Saud University,Saudi Arabia,3,-,423,-,364,75.6,ksu.edu.sa
383,Kyung Hee University,South Korea,8,-,1013,-,355,75.5,khu.ac.kr
384,University of Ljubljana,Slovenia,1,-,-,-,356,75.5,uni-lj.si
385,"University of Oklahoma, Norman",USA,113,-,388,-,370,75.5,ou.edu
386,University of Newcastle,Australia,11,-,1228,-,358,75.5,newcastle.edu.au
387,Indiana University – Purdue University Indianapolis,USA,114,-,917,-,360,75.5,iupui.edu
388,Tampere University,Finland,4,-,459,-,375,75.5,tuni.fi/fi/tutustu-meihin/yliopisto
389,Griffith University,Australia,12,-,1276,-,361,75.5,griffith.edu.au
390,"University at Albany, SUNY",USA,115,216,787,208,443,75.5,albany.edu
391,Deakin University,Australia,13,-,938,-,362,75.4,deakin.edu.au
392,University of Texas at Dallas,USA,116,362,545,-,379,75.4,utdallas.edu
393,Pompeu Fabra University,Spain,8,-,1425,-,366,75.4,upf.edu
394,East China University of Science and Technology,China,40,-,-,-,365,75.4,ecust.edu.cn
395,Islamic Azad University,Iran,1,-,-,-,369,75.4,iau.ac.ir
396,University of Warsaw,Poland,2,466,1016,-,371,75.4,uw.edu.pl
397,East China Normal University,China,41,-,415,-,393,75.4,ecnu.edu.cn
398,University of Wollongong,Australia,14,-,619,-,384,75.4,uow.edu.au
399,University of Seville,Spain,9,-,1438,-,372,75.3,us.es
400,York University,Canada,17,-,254,-,415,75.3,yorku.ca
401,University of Ulsan,South Korea,9,-,706,-,381,75.3,ulsan.ac.kr
402,University of Technology Sydney,Australia,15,-,1063,-,376,75.3,uts.edu.au
403,Amherst College,USA,117,21,55,-,-,75.3,amherst.edu
404,Kyungpook National University,South Korea,10,-,920,-,378,75.3,knu.ac.kr
405,University of Bari,Italy,16,-,-,-,377,75.3,uniba.it
406,Swedish University of Agricultural Sciences,Sweden,9,308,-,-,385,75.3,slu.se
407,Chalmers University of Technology,Sweden,10,502,300,-,413,75.2,chalmers.se
408,University of Coimbra,Portugal,3,409,1174,-,383,75.2,uc.pt
409,University of Malaya,Malaysia,1,-,437,-,404,75.2,um.edu.my
410,Aristotle University of Thessaloniki,Greece,2,-,-,-,382,75.2,auth.gr
411,Stockholm School of Economics,Sweden,11,-,20,261,1768,75.2,hhs.se
412,Queensland University of Technology,Australia,16,-,1133,-,387,75.2,qut.edu.au
413,Hiroshima University,Japan,12,-,1233,-,388,75.2,hiroshima-u.ac.jp
414,Thomas Jefferson University,USA,118,-,-,-,389,75.2,jefferson.edu
415,Indian Institute of Management Ahmedabad,India,1,377,13,-,-,75.1,iima.ac.in
416,Chongqing University,China,42,-,584,-,400,75.1,cqu.edu.cn
417,Vienna University of Technology,Austria,4,480,645,-,396,75.1,tuwien.ac.at
418,University of Twente,Netherlands,12,-,1043,-,392,75.1,utwente.nl
419,University of Tasmania,Australia,17,-,-,-,391,75.1,utas.edu.au
420,University of Rennes 1,France,20,-,-,-,394,75.1,univ-rennes1.fr
421,São Paulo State University,Brazil,4,-,-,-,397,75.1,unesp.br
422,University of Colorado Denver,USA,119,-,-,-,399,75.1,ucdenver.edu
423,Saint Louis University,USA,120,-,274,187,512,75,slu.edu
424,University of Côte d'Azur,France,21,-,-,-,402,75,univ-cotedazur.fr
425,Tulane University,USA,121,239,351,-,426,75,tulane.edu
426,University of Texas Health Science Center at San Antonio,USA,122,-,-,-,403,75,uthscsa.edu
427,Texas Tech University,USA,123,-,467,-,416,75,ttu.edu
428,University of Clermont Auvergne,France,22,-,-,-,405,75,uca.fr
429,Stellenbosch University,South Africa,3,-,180,-,453,75,sun.ac.za
430,University of Stuttgart,Germany,32,128,286,-,462,75,uni-stuttgart.de
431,University of Oulu,Finland,5,-,677,-,412,74.9,oulu.fi
432,Vita-Salute San Raffaele University,Italy,17,-,-,-,406,74.9,unisr.it
433,University of Navarra,Spain,10,-,104,251,546,74.9,unav.edu
434,University of Trieste,Italy,18,-,1040,-,408,74.9,units.it
435,University of Eastern Finland,Finland,6,-,-,-,407,74.9,uef.fi
436,Catholic University of the Sacred Heart,Italy,19,-,1179,-,409,74.9,ucsc.it
437,Kansas State University,USA,124,355,475,-,422,74.9,k-state.edu
438,University of Saskatchewan,Canada,18,280,680,-,420,74.9,usask.ca
439,Okayama University,Japan,13,344,599,-,419,74.8,okayama-u.ac.jp
440,Chonnam National University,South Korea,11,-,1246,-,410,74.8,jnu.ac.kr
441,Medical College of Wisconsin,USA,125,-,-,-,411,74.8,mcw.edu
442,University of Chile,Chile,2,-,560,-,421,74.8,uchile.cl
443,University of Mississippi,USA,126,484,-,-,414,74.8,olemiss.edu
444,Kobe University,Japan,14,295,455,-,429,74.8,kobe-u.ac.jp
445,China University of Geosciences,China,43,-,1061,-,418,74.8,cug.edu.cn & cugb.edu.cn
446,University of Vermont,USA,127,-,488,-,427,74.8,uvm.edu
447,University of Bath,United Kingdom,34,-,583,-,423,74.8,bath.ac.uk
448,University of Science and Technology Beijing,China,44,-,217,-,458,74.7,ustb.edu.cn
449,Pusan National University,South Korea,12,-,504,-,430,74.7,pusan.ac.kr
450,Martin Luther University Halle-Wittenberg,Germany,33,425,-,246,452,74.7,uni-halle.de
451,University of Zaragoza,Spain,11,485,1018,-,424,74.7,unizar.es
452,George Mason University,USA,128,-,1358,237,471,74.7,gmu.edu
453,National Chiao Tung University,Taiwan,4,-,291,-,448,74.7,nctu.edu.tw
454,Capital Medical University,China,45,-,-,-,425,74.7,ccmu.edu.cn
455,University of Louisville,USA,129,-,746,-,431,74.7,louisville.edu
456,University of Catania,Italy,20,340,-,-,432,74.7,unict.it
457,Polytechnic University of Catalonia,Spain,12,-,656,-,436,74.6,upc.edu
458,Northwestern Polytechnical University,China,46,-,678,-,438,74.6,nwpu.edu.cn
459,University of Guelph,Canada,19,-,1124,-,434,74.6,uoguelph.ca
460,University of Siena,Italy,21,-,1277,-,433,74.6,unisi.it
461,University of Santiago de Compostela,Spain,13,-,908,-,435,74.6,usc.es
462,Indian Institute of Science,India,2,348,732,-,440,74.6,iisc.ac.in
463,University of Strathclyde,United Kingdom,35,-,330,-,460,74.6,strath.ac.uk
464,Scuola Normale Superiore di Pisa,Italy,22,77,-,239,581,74.6,sns.it
465,University of Trento,Italy,23,-,-,-,437,74.5,unitn.it
466,Florida International University,USA,130,-,1321,-,439,74.5,fiu.edu
467,TU Darmstadt,Germany,34,337,695,-,447,74.5,tu-darmstadt.de
468,University of Central Florida,USA,131,-,1077,-,441,74.5,ucf.edu
469,University of Alabama - Tuscaloosa,USA,132,444,229,-,482,74.5,ua.edu
470,Zhengzhou University,China,47,-,998,-,442,74.5,zzu.edu.cn
471,Syracuse University,USA,133,166,224,-,510,74.5,syracuse.edu
472,James Cook University,Australia,18,-,1067,-,444,74.5,jcu.edu.au
473,Hitotsubashi University,Japan,15,-,19,-,-,74.5,hit-u.ac.jp
474,University of Rostock,Germany,35,430,-,-,445,74.4,uni-rostock.de
475,Colorado School of Mines,USA,134,-,58,-,735,74.4,mines.edu
476,Federal University of Rio Grande do Sul,Brazil,5,-,1271,-,446,74.4,ufrgs.br
477,University of KwaZulu-Natal,South Africa,4,498,284,-,474,74.4,ukzn.ac.za
478,University of Hull,United Kingdom,36,190,260,135,676,74.4,hull.ac.uk
479,Lehigh University,USA,135,165,67,-,728,74.4,lehigh.edu
480,Savoie Mont Blanc University,France,23,-,-,-,449,74.4,univ-smb.fr
481,University of Tennessee Health Science Center,USA,136,-,-,-,450,74.4,uthsc.edu
482,Rovira i Virgili University,Spain,14,-,-,-,451,74.4,urv.cat
483,University of Oviedo,Spain,15,-,962,-,455,74.4,uniovi.es
484,Shanghai University,China,48,-,973,-,457,74.3,shu.edu.cn
485,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,4,36,-,212,897,74.3,ioffe.ru
486,University of Hawaii at Manoa,USA,137,366,1154,-,459,74.3,manoa.hawaii.edu
487,Polytechnic University of Valencia,Spain,16,-,-,-,454,74.3,upv.es
488,University of Tromsø – The Arctic University of Norway,Norway,4,-,-,-,456,74.3,uit.no
489,Baylor University,USA,138,-,367,-,475,74.3,baylor.edu
490,École normale supérieure de Lyon,France,24,383,-,263,476,74.3,ens-lyon.fr
491,Oklahoma State University,USA,139,-,491,-,473,74.3,okstate.edu
492,Federal University of Minas Gerais,Brazil,6,-,600,-,466,74.3,ufmg.br
493,Chulalongkorn University,Thailand,1,-,117,-,568,74.2,chula.ac.th
494,Boston College,USA,140,-,157,-,539,74.2,bc.edu
495,Rush University,USA,141,-,-,-,463,74.2,rushu.rush.edu
496,Shenzhen University,China,49,-,797,-,465,74.2,szu.edu.cn
497,University of Ferrara,Italy,24,-,-,-,464,74.2,unife.it
498,"Royal Holloway, University of London",United Kingdom,37,393,921,213,541,74.2,royalholloway.ac.uk
499,University of Canterbury,New Zealand,3,336,384,230,550,74.2,canterbury.ac.nz
500,Leibniz University Hannover,Germany,36,-,907,-,468,74.2,uni-hannover.de
501,University of Modena and Reggio Emilia,Italy,25,-,992,-,467,74.2,unimore.it
502,Nanjing University of Aeronautics and Astronautics,China,50,-,1117,-,469,74.1,nuaa.edu.cn
503,West Virginia University,USA,142,-,348,-,494,74.1,wvu.edu
504,TU Dortmund,Germany,37,-,-,-,470,74.1,tu-dortmund.de
505,Nanjing Agricultural University,China,51,-,1470,-,472,74.1,njau.edu.cn
506,University of Surrey,United Kingdom,38,403,443,-,489,74.1,surrey.ac.uk
507,Nanjing University of Science and Technology,China,52,-,685,-,477,74.1,njust.edu.cn
508,Bar-Ilan University,Israel,6,-,827,-,478,74.1,biu.ac.il
509,University College Cork,Ireland,3,-,888,-,480,74.1,ucc.ie
510,La Trobe University,Australia,19,-,1173,-,479,74.1,latrobe.edu.au
511,Georgia State University,USA,143,-,670,-,490,74.1,gsu.edu
512,Beijing University of Chemical Technology,China,53,-,1333,-,481,74,buct.edu.cn
513,National Yang-Ming University,Taiwan,5,-,-,-,484,74,ym.edu.tw
514,Western Sydney University,Australia,20,-,-,-,485,74,westernsydney.edu.au
515,University of Verona,Italy,26,-,-,-,486,74,univr.it
516,University of Tartu,Estonia,1,455,-,-,488,74,ut.ee
517,University of Zagreb,Croatia,1,-,1430,-,487,74,unizg.hr
518,Nanjing Medical University,China,54,-,-,-,491,74,njmu.edu.cn
519,University of Potsdam,Germany,38,-,-,-,492,74,uni-potsdam.de
520,NOVA University of Lisbon,Portugal,4,-,-,-,493,74,unl.pt
521,University of South Australia,Australia,21,-,447,-,511,74,unisa.edu.au
522,Medical University of Innsbruck,Austria,5,-,-,-,495,73.9,i-med.ac.at
523,Bocconi University,Italy,27,-,46,256,1014,73.9,unibocconi.eu
524,"Institute of Cancer Research, University of London",United Kingdom,39,187,-,-,513,73.9,icr.ac.uk
525,University of Bremen,Germany,39,-,-,-,496,73.9,uni-bremen.de
526,San Diego State University,USA,144,321,471,-,515,73.9,sdsu.edu
527,Carleton University,Canada,20,-,1351,-,498,73.9,carleton.ca
528,Huazhong Agricultural University,China,55,-,-,-,497,73.9,hzau.edu.cn
529,Novosibirsk State University,Russia,5,401,1338,-,499,73.9,nsu.ru
530,Rensselaer Polytechnic Institute,USA,145,416,162,-,585,73.9,rpi.edu
531,Xidian University,China,56,359,1072,-,504,73.8,xidian.edu.cn
532,University of Nantes,France,25,-,-,-,500,73.8,univ-nantes.fr
533,Mayo Clinic College of Medicine and Science,USA,146,-,-,-,501,73.8,college.mayo.edu
534,Polytechnic University of Madrid,Spain,17,478,671,-,508,73.8,upm.es
535,Medical University of Graz,Austria,6,-,-,-,502,73.8,medunigraz.at
536,Chiba University,Japan,16,-,-,-,503,73.8,chiba-u.ac.jp
537,Ewha Womans University,South Korea,13,-,-,-,505,73.8,ewha.ac.kr
538,University of Graz,Austria,7,375,1151,157,659,73.8,uni-graz.at
539,Institut Agro,France,26,-,-,-,506,73.8,institut-agro.fr
540,Saint Petersburg University,Russia,6,155,458,-,548,73.8,spbu.ru
541,Flinders University,Australia,22,461,-,-,507,73.8,flinders.edu.au
542,University of Arkansas - Fayetteville,USA,147,271,389,-,534,73.7,uark.edu
543,University of Tehran,Iran,2,422,-,-,509,73.7,ut.ac.ir
544,University of Delhi,India,3,521,143,-,602,73.7,du.ac.in
545,Auburn University,USA,148,-,241,-,553,73.7,auburn.edu
546,University of Iceland,Iceland,1,-,-,-,514,73.7,hi.is
547,RMIT University,Australia,23,-,991,-,517,73.7,rmit.edu.au
548,Illinois Institute of Technology,USA,149,66,149,-,797,73.7,iit.edu
549,National Central University,Taiwan,6,-,-,-,516,73.7,ncu.edu.tw
550,Tata Institute of Fundamental Research,India,4,-,-,-,518,73.7,tifr.res.in
551,"China Medical University, Taiwan",Taiwan,7,-,-,-,519,73.7,cmu.edu.tw
552,Institute for Theoretical and Experimental Physics,Russia,7,-,-,-,520,73.6,itep.ru
553,Clemson University,USA,150,-,934,-,523,73.6,clemson.edu
554,Ulsan National Institute of Science and Technology,South Korea,14,-,-,-,521,73.6,unist.ac.kr
555,Wuhan University of Technology,China,57,-,982,-,525,73.6,whut.edu.cn
556,Northwest A&F University,China,58,-,-,-,522,73.6,nwsuaf.edu.cn
557,College of William & Mary,USA,151,-,94,-,706,73.6,wm.edu
558,Cairo University,Egypt,1,-,1125,-,524,73.6,cu.edu.eg
559,University of Sherbrooke,Canada,21,-,977,-,529,73.6,usherbrooke.ca
560,Chang Gung University,Taiwan,8,-,-,-,526,73.6,cgu.edu.tw
561,Mahidol University,Thailand,2,-,-,-,527,73.6,mahidol.ac.th
562,University of Jyväskylä,Finland,7,-,1419,-,528,73.5,jyu.fi
563,Swarthmore College,USA,152,19,230,-,1960,73.5,swarthmore.edu
564,National Technical University of Athens,Greece,3,470,756,-,531,73.5,ntua.gr
565,University of Wisconsin–Milwaukee,USA,153,283,451,-,545,73.5,uwm.edu
566,University of Texas at Arlington,USA,154,-,927,-,530,73.5,uta.edu
567,Brunel University London,United Kingdom,40,-,495,-,540,73.5,brunel.ac.uk
568,University of Burgundy,France,27,161,-,-,551,73.5,u-bourgogne.fr
569,"Northeastern University, China",China,59,-,439,-,544,73.5,neu.edu.cn
570,University of Palermo,Italy,28,-,-,-,532,73.5,unipa.it
571,Middle East Technical University,Turkey,1,-,315,-,561,73.5,metu.edu.tr
572,Indian Institute of Technology Madras,India,5,-,185,-,615,73.5,iitm.ac.in
573,Palacký University Olomouc,Czech Republic,2,-,-,-,535,73.4,upol.cz
574,Brigham Young University,USA,155,318,922,-,543,73.4,byu.edu
575,Haverford College,USA,156,18,-,-,1879,73.4,haverford.edu
576,Swansea University,United Kingdom,41,-,1183,-,537,73.4,swansea.ac.uk
577,Masaryk University,Czech Republic,3,-,-,-,536,73.4,muni.cz
578,University of Pretoria,South Africa,5,-,771,-,542,73.4,up.ac.za
579,University of Nebraska Medical Center,USA,157,-,-,-,538,73.4,unmc.edu
580,Moscow Institute of Physics and Technology,Russia,8,158,542,264,611,73.4,mipt.ru
581,Fuzhou University,China,60,-,724,-,547,73.4,fzu.edu.cn
582,University of St.Gallen,Switzerland,9,-,30,-,1556,73.4,unisg.ch
583,Cold Spring Harbor Laboratory,USA,158,-,-,88,831,73.3,cshl.edu
584,Indian Institute of Technology Delhi,India,6,-,122,-,678,73.3,iitd.ac.in
585,Indian Institute of Technology Bombay,India,7,-,477,-,563,73.3,iitb.ac.in
586,Concordia University,Canada,22,525,307,-,589,73.3,concordia.ca
587,University of Minho,Portugal,5,-,-,-,549,73.3,uminho.pt
588,Eötvös Loránd University,Hungary,1,245,-,-,559,73.3,elte.hu
